"run_execution_id","app_param_id","instance_id","attempt_id","file_name","download_uri"
"simrun","18cWX0n","1","1","Annotations/lidar_semantic_segmentation_000.pcd","https://mock.url/Annotations/lidar_semantic_segmentation_000.pcd"
"simrun","18cWX0n","1","1","Annotations/sementic_segmantation_000.png","https://mock.url/Annotations/sementic_segmantation_000.png"
"simrun","18cWX0n","1","1","Annotations/sementic_segmantation_001.png","https://mock.url/Annotations/sementic_segmantation_001.png"
"simrun","18cWX0n","1","1","Captures/camera_000.png","https://mock.url/Captures/camera_000.png"
"simrun","18cWX0n","1","1","Captures/camera_001.png","https://mock.url/Captures/camera_001.png"
"simrun","18cWX0n","1","1","Captures/lidar_000.pcd","https://mock.url/Captures/lidar_000.pcd"
"simrun","18cWX0n","1","1","Dataset/captures_000.json","https://mock.url/Dataset/captures_000.json"
"simrun","18cWX0n","1","1","Dataset/captures_001.json","https://mock.url/Dataset/captures_001.json"
"simrun","18cWX0n","1","1","Dataset/metrics_000.json","https://mock.url/Dataset/metrics_000.json"
"simrun","18cWX0n","1","1","Dataset/annotation_definitions.json","https://mock.url/Dataset/annotation_definitions.json"
"simrun","18cWX0n","1","1","Dataset/metric_definitions.json","https://mock.url/Dataset/metric_definitions.json"
"simrun","18cWX0n","1","1","Dataset/egos.json","https://mock.url/Dataset/egos.json"
"simrun","18cWX0n","1","1","Dataset/sensors.json","https://mock.url/Dataset/sensors.json"
